dba,name_syntax_normalized,name_normalized,detected_known_brands,brand_candidates,is_reviewed_co_brand,has_separator,location_count
DUNKIN'-BASKIN-ROBBINS-JIMMY JOHN'S,DUNKIN BASKIN ROBBINS JIMMY JOHNS,DUNKIN BASKIN ROBBINS JIMMY JOHNS,BASKIN ROBBINS | DUNKIN | JIMMY JOHNS,DUNKIN | BASKIN ROBBINS | JIMMY JOHNS,True,False,1
DUNKIN'/BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,BASKIN ROBBINS | DUNKIN,DUNKIN | BASKIN ROBBINS,True,True,2
"DUNKIN, BASKIN ROBINS",DUNKIN BASKIN ROBINS,DUNKIN BASKIN ROBINS,DUNKIN,DUNKIN | BASKIN ROBBINS,True,True,1
DUNKIN-BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,BASKIN ROBBINS | DUNKIN,DUNKIN | BASKIN ROBBINS,True,False,1
DUNKIN/BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,DUNKIN BASKIN ROBBINS,BASKIN ROBBINS | DUNKIN,DUNKIN | BASKIN ROBBINS,True,True,1
DUNKIN/JIMMY JOHN'S,DUNKIN JIMMY JOHNS,DUNKIN JIMMY JOHNS,DUNKIN | JIMMY JOHNS,DUNKIN | JIMMY JOHNS,True,True,1
DUNKIN/JIMMY JOHNS,DUNKIN JIMMY JOHNS,DUNKIN JIMMY JOHNS,DUNKIN | JIMMY JOHNS,DUNKIN | JIMMY JOHNS,True,True,1
JAMBA JUICE/ AUNTIE ANNE'S PRETZELS,JAMBA JUICE AUNTIE ANNES PRETZELS,JAMBA JUICE AUNTIE ANNES PRETZELS,AUNTIE ANNES | JAMBA,JAMBA | AUNTIE ANNES,True,True,1
KFC / TACO BELL,KFC TACO BELL,KFC TACO BELL,KFC | TACO BELL,KFC | TACO BELL,True,True,2
"KFC, TACO BELL",KFC TACO BELL,KFC TACO BELL,KFC | TACO BELL,KFC | TACO BELL,True,True,1
KFC/TACO BELL,KFC TACO BELL,KFC TACO BELL,KFC | TACO BELL,KFC | TACO BELL,True,True,1
SUBWAY / CARVEL,SUBWAY CARVEL,SUBWAY CARVEL,CARVEL | SUBWAY,SUBWAY | CARVEL,True,True,1
"SUBWAY, KRISPY KRUNCHY CHICKEN",SUBWAY KRISPY KRUNCHY CHICKEN,SUBWAY KRISPY KRUNCHY CHICKEN,KRISPY KRUNCHY CHICKEN | SUBWAY,SUBWAY | KRISPY KRUNCHY CHICKEN,True,True,1
TACO BELL PIZZA HUT,TACO BELL PIZZA HUT,TACO BELL PIZZA HUT,PIZZA HUT | TACO BELL,TACO BELL | PIZZA HUT,True,False,1
$1.50 FRESH PIZZA & HOT DOG,1 50 FRESH PIZZA AND HOT DOG,1 50 FRESH PIZZA AND HOT DOG,,1 50 FRESH PIZZA AND HOT DOG,False,True,1
$1.50 PIZZA & EMPANADAS,1 50 PIZZA AND EMPANADAS,1 50 PIZZA AND EMPANADAS,,1 50 PIZZA AND EMPANADAS,False,True,1
& MORE BY SHERATON,AND MORE BY SHERATON,AND MORE BY SHERATON,,AND MORE BY SHERATON,False,True,1
& SON,AND SON,AND SON,,AND SON,False,True,1
08/2024,08 2024,08 2024,,08 2024,False,True,1
10 02 LOUNGE AND RESTAURANT,10 02 LOUNGE AND RESTAURANT,10 02 LOUNGE AND RESTAURANT,,10 02 LOUNGE AND RESTAURANT,False,True,1
100 FEAST & LOUNGE,100 FEAST AND LOUNGE,100 FEAST AND LOUNGE,,100 FEAST AND LOUNGE,False,True,1
100'S RESTAURANT AND GRILL,100S RESTAURANT AND GRILL,100S RESTAURANT AND GRILL,,100S RESTAURANT AND GRILL,False,True,1
107 DAILY & GRILL,107 DAILY AND GRILL,107 DAILY AND GRILL,,107 DAILY AND GRILL,False,True,1
108 DYCKMAN FINEST DELI & GRILL INC,108 DYCKMAN FINEST DELI AND GRILL,108 DYCKMAN FINEST DELI AND GRILL,,108 DYCKMAN FINEST DELI AND GRILL,False,True,1
10TH AVENUE PIZZA & CAFE,10TH AVENUE PIZZA AND CAFE,10TH AVENUE PIZZA AND CAFE,,10TH AVENUE PIZZA AND CAFE,False,True,1
"11 DINING, LLC",11 DINING,11 DINING,,11 DINING,False,True,1
120 BAY CAFE/CARGO,120 BAY CAFE CARGO,120 BAY CAFE CARGO,,120 BAY CAFE CARGO,False,True,1
1313 CAFE & JUICE BAR,1313 CAFE AND JUICE BAR,1313 CAFE AND JUICE BAR,,1313 CAFE AND JUICE BAR,False,True,1
161 BAR & GRILL,161 BAR AND GRILL,161 BAR AND GRILL,,161 BAR AND GRILL,False,True,1
161 DELI & GRILL,161 DELI AND GRILL,161 DELI AND GRILL,,161 DELI AND GRILL,False,True,1
168 BAR & GRILL,168 BAR AND GRILL,168 BAR AND GRILL,,168 BAR AND GRILL,False,True,1
1803 NYC / BON COURAGE,1803 NYC BON COURAGE,1803 NYC BON COURAGE,,1803 NYC BON COURAGE,False,True,1
19.EI / MD FRIED CHICKEN / COTTI COFFEE EXPRESS,19 EI MD FRIED CHICKEN COTTI COFFEE EXPRESS,19 EI MD FRIED CHICKEN COTTI COFFEE EXPRESS,,19 EI MD FRIED CHICKEN COTTI COFFEE EXPRESS,False,True,1
1915 LANZHOU HAND PULLED NOODLES & DUMPLINGS,1915 LANZHOU HAND PULLED NOODLES AND DUMPLINGS,1915 LANZHOU HAND PULLED NOODLES AND DUMPLINGS,,1915 LANZHOU HAND PULLED NOODLES AND DUMPLINGS,False,True,1
2 BROS PIZZA / CARMEN'S KITCHEN,2 BROS PIZZA CARMENS KITCHEN,2 BROS PIZZA CARMENS KITCHEN,,2 BROS PIZZA CARMENS KITCHEN,False,True,1
"2 BROS PIZZA, CORVO COFFEE",2 BROS PIZZA CORVO COFFEE,2 BROS PIZZA CORVO COFFEE,,2 BROS PIZZA CORVO COFFEE,False,True,1
2 SISTERS 4 BROTHERS RESTAURANT AND LOUNGE,2 SISTERS 4 BROTHERS RESTAURANT AND LOUNGE,2 SISTERS 4 BROTHERS RESTAURANT AND LOUNGE,,2 SISTERS 4 BROTHERS RESTAURANT AND LOUNGE,False,True,1
2020 SABORES LATINOS REST & BAKERY,2020 SABORES LATINOS REST AND BAKERY,2020 SABORES LATINOS REST AND BAKERY,,2020 SABORES LATINOS REST AND BAKERY,False,True,1
21ST STREET DELI & INDIAN GRILL,21ST STREET DELI AND INDIAN GRILL,21ST STREET DELI AND INDIAN GRILL,,21ST STREET DELI AND INDIAN GRILL,False,True,1
25 HOURS / 00:00 (MIDNIGHT),25 HOURS 00 00 MIDNIGHT,25 HOURS 00 00 MIDNIGHT,,25 HOURS 00 00 MIDNIGHT,False,True,1
27 SPORTS BAR & CAFE,27 SPORTS BAR AND CAFE,27 SPORTS BAR AND CAFE,,27 SPORTS BAR AND CAFE,False,True,1
27/26,27 26,27 26,,27 26,False,True,1
275PARK / 275PARK LAFFAHOLICS,275PARK 275PARK LAFFAHOLICS,275PARK 275PARK LAFFAHOLICS,,275PARK 275PARK LAFFAHOLICS,False,True,1
"28 SEVENTH AVENUE SOUTH, LLC",28 SEVENTH AVENUE SOUTH,28 SEVENTH AVENUE SOUTH,,28 SEVENTH AVENUE SOUTH,False,True,1
2A / BERLIN / OLD FLINGS,2A BERLIN OLD FLINGS,2A BERLIN OLD FLINGS,,2A BERLIN OLD FLINGS,False,True,1
2DOORS CAFE & PIZZERIA,2DOORS CAFE AND PIZZERIA,2DOORS CAFE AND PIZZERIA,,2DOORS CAFE AND PIZZERIA,False,True,1
2ND FLOOR/GP KITCHEN,2ND FLOOR GP KITCHEN,2ND FLOOR GP KITCHEN,,2ND FLOOR GP KITCHEN,False,True,1
3 BROS PIZZA & TACOS CORP.,3 BROS PIZZA AND TACOS,3 BROS PIZZA AND TACOS,,3 BROS PIZZA AND TACOS,False,True,1
